,title,overview,original_language,release_date,popularity,vote_count,vote_average
816,Sniper: G.R.I.T. - Global Response & Intelligence Team,"When an international terrorist cult threatens global political stability and kidnaps a fellow agent, Ace Sniper Brandon Beckett and the newly-formed Global Response & Intelligence Team – or G.R.I.T. – led by Colonel Stone must travel across the world to Malta, infiltrate the cult, and take out its leader to free Lady Death and stop the global threat.",en,2023-09-26,67.263,87,6.799
817,Fantastic Beasts and Where to Find Them,"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.",en,2016-11-16,85.68,18056,7.331
818,Gremlins,"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, unleashing a horde of mischievous gremlins on a small town.",en,1984-06-08,71.723,5907,7.092
819,Noah,A man who suffers visions of an apocalyptic deluge takes measures to protect his family from the coming flood.,en,2014-03-07,59.924,5904,5.659
820,Monster High 2,"As they enter sophomore year at Monster High, Clawdeen Wolf, Draculaura and Frankie Stein face new students, new powers, and an even bigger threat that could not only tear their friendship apart but could change the world forever.",en,2023-10-05,71.084,45,7.289
821,Midsommar,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",en,2019-07-03,71.033,6391,7.164
822,I Am Legend,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",en,2007-12-12,71.015,14877,7.201
823,Trainwreck,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.",en,2015-07-17,70.991,2469,5.8
824,Dune: Part Two,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",en,2024-02-28,70.987,0,0.0
825,Wonder Woman 1984,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,en,2020-12-16,70.987,7939,6.47
826,The Fate of the Furious,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",en,2017-04-12,70.97,9822,6.885
827,Sonic the Hedgehog 3,"The third film in the ""Sonic the Hedgehog"" franchise.",en,2024-12-18,70.942,0,0.0
828,The Sea Beast,"In an era when terrifying beasts roamed the seas, monster hunters were celebrated heroes. None were more beloved than the great Jacob Holland. But when young Maisie Brumble stows away on his fabled ship, he's saddled with an unexpected ally. Together they embark on an epic journey into uncharted waters and make history.",en,2022-06-24,70.866,1301,7.4
829,Tom and Jerry: Willy Wonka and the Chocolate Factory,The classic Roald Dahl tale gets a modern twist when Tom and Jerry enter the amazing world of Willy Wonka's Chocolate Factory.,en,2017-06-28,70.826,116,6.6
830,Deep Water,"Vic and Melinda Van Allen are a couple in the small town of Little Wesley. Their loveless marriage is held together only by a precarious arrangement whereby, in order to avoid the messiness of divorce, Melinda is allowed to take any number of lovers as long as she does not desert her family.",en,2022-03-18,70.805,1147,5.759
831,Ocean's Eight,"Debbie Ocean, a criminal mastermind, gathers a crew of female thieves to pull off the heist of the century at New York's annual Met Gala.",en,2018-06-07,70.745,7871,7.0
832,I Believe,A 9 year old boy experiences God's power in a supernatural way.,en,2019-06-06,70.721,124,7.621
833,The Good Dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,en,2015-11-14,70.704,5213,6.741
834,Godzilla: The Planet Eater,"With no means for defeating Godzilla Earth, mankind watches as King Ghidorah, clad in a golden light, descends on the planet. The heavens and earth shake once again as the war moves to a higher dimension.",ja,2018-11-09,70.702,287,6.411
835,Waterworld,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland'—which is tattooed on Enola's back.",en,1995-07-28,70.697,3396,6.197
836,RDX: Robert Dony Xavier,"Once-menacing, anger fueled, trained martial arts fighters Robert, Dony and Xavier settle down to peaceful lives, after a significant event prompts them. Fate orchestrates their reunion and return from exile to their fighting ways, when their history linger ominously and one of them faces a violent attack.",ml,2023-08-25,70.675,26,7.0
837,The Kiss List,"High-school student Camille Collins finds herself in a social media spin-out after her crush, Dylan, spreads rumors that she’s a bad kisser. So, Camille creates a “kiss list” to prove Dylan wrong and find her one true love. Her plan derails early and often, with social media meltdowns and backlash from classmates, her best friend, Liam, and her single mom, who struggles with her daughter’s bisexuality. Adapted from Sara Jo Cluff’s young-adult book of the same name.",en,2023-11-24,70.633,5,8.2
838,Hercules,"Bestowed with superhuman strength, a young mortal named Hercules sets out to prove himself a hero in the eyes of his father, the great god Zeus. Along with his friends Pegasus, a flying horse, and Phil, a personal trainer, Hercules is tricked by the hilarious, hotheaded villain Hades, who's plotting to take over Mount Olympus!",en,1997-06-20,70.631,6917,7.5
839,Tombstone,"Legendary marshal Wyatt Earp, now a weary gunfighter, joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town.",en,1993-12-25,70.618,1918,7.6
840,Fantastic Mr. Fox,"The Fantastic Mr. Fox, bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",en,2009-10-23,70.591,4945,7.787
841,The Incredibles,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.",en,2004-10-27,70.579,16778,7.7
842,Teen Titans Go! To the Movies,"All the major DC superheroes are starring in their own films, all but the Teen Titans, so Robin is determined to remedy this situation by getting over his role as a sidekick and becoming a movie star. Thus, with a few madcap ideas and an inspirational song in their hearts, the Teen Titans head to Hollywood to fulfill their dreams.",en,2018-07-27,70.543,1044,7.3
843,Home Alone 4,"Kevin McCallister's parents have split up. Now living with his mom, he decides to spend Christmas with his dad at the mansion of his father's rich girlfriend, Natalie. Meanwhile robber Marv Merchants, one of the villains from the first two movies, partners up with a new criminal named Vera to hit Natalie's mansion.",en,2002-11-03,70.539,1155,4.484
844,The Secret Life of Pets 2,"Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses.",en,2019-05-24,70.533,2828,6.967
